title,founders,linkedin,website,description,location
Ria Health,Tom Nix,https://www.linkedin.com/in/tomnix/detail/photo/,http://riahealth.com,Tech-enabled telehealth practice providing treatment for Alcohol Use Disorder (AUD),"SAN FRANCISCO, UNITED STATES OF AMERICA"
AnimalBiome,"Holly H. Ganz, PhD",https://linkedin.com/in/holly-ganz-932958,http://animalbiome.com,Microbiome-based diagnostics & supplements for pets with chronic digestive disorders,"BERKELEY, CA"
Avisa Myko,Sheshagiri Raghukumar,https://www.linkedin.com/in/seshagiri-raghukumar-45a41890/,http://avisamyko.com,Natural Soluble Melanin at 4000x lower cost for UV and Radiation protection,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Ivy Natal,Jeff Hsu,https://www.linkedin.com/in/jeffrey-hsu-52325b7/,http://ivynatal.com,Unlocking human fertility,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Khepra,Madeleine Allen,https://www.linkedin.com/in/julie-k-70425689/,http://khepra.net,Renewable Fuels and Chemicals from Waste,"SAN FRANCISCO, UNITED STATES OF AMERICA"
MYI,Devon Cayer,https://linkedin.com/in/devon-cayer-8669611a,http://myidiagnostics.com,Next generation multiplexed proteomic profiling for precision medicine,"SAN DIEGO, CA"
OneSkin,Carolina Reis,https://linkedin.com/in/carolina-reis-oliveira-a69b8a27/en,https://www.oneskin.co/,Finding molecules able to reverse skin aging,"SAN FRANCISCO, CA"
Ranomics,Leo Wan,https://linkedin.com/in/leo-wan-b6447624,http://ranomics.com,Improving genetic tests,"SAN FRANCISCO, CA"
Ravata Solutions,Gurkern Sufi,https://linkedin.com/in/gurkern-sufi?authtype=name_search&authtoken=s_z7&locale=en_us,http://ravatasolutions.com,Automated Assisted Reproductive Technologies,"SAN FRANCISCO, CA"
Scaled Biolabs,Drew Titmarsh,https://www.linkedin.com/in/drewtitmarsh,http://scaledbiolabs.com,"Powered by miniaturization, automation and machine learning.","SAN FRANCISCO, CA"
"Amaryllis Nucleics, Inc.",Mike Covington,https://linkedin.com/in/michael-covington-7ab8a873,http://amaryllisnucleics.com,Democratizing RNA sequencing,"LEAMINGTON, ON, CANADA"
Amino Labs,Justin Pahara,https://www.linkedin.com/in/justinpahara,http://amino.bio,Making biotechnology education accessible,"LETHBRIDGE, AB, CANADA"
BioFeyn,Timothy Bouley,https://www.linkedin.com/in/timothy-a-bouley-354b0533/,http://biofeyn.com,Enhanced feed additives for aquaculture,"WILMINGTON, DE"
Biolumen,Gabriel Paulino,https://www.linkedin.com/in/gabrielpaulino/,http://biolumen.tech,Rooberry negative calorie food snack,"SAN FRANCISCO, CA"
BiomeSense,Kevin Honaker,https://linkedin.com/in/kevin-honaker-58128663,http://biomesenseinc.com,Revolutionizing Microbiome Discovery,"CHICAGO, IL"
Diptera.ai,Ariel Livne,https://www.linkedin.com/in/ariel-livne-b3213252/,http://diptera.ai,Stopping mosquito-borne disease,"JERUSALEM, ISRAEL"
"Jointechlabs, Inc.",Nathan Katz,https://www.linkedin.com/in/nathan-katz-87190740/,http://jointechlabs.com,"Pioneering access to high quality fat grafts, fat-derived stem cells and cell therapies","WALNUT CREEK, CA"
Liberum Bio,Ryan Fobel,https://www.linkedin.com/in/ryan-fobel/,http://liberumbio.com,Desktop protein manufacturing with the push of a button,"TORONTO, ON, CANADA"
Perennial,Sara Bonham,https://linkedin.com/in/sara-bonham-10650426,http://liveperennial.com,Innovating in senior nutrition with plants.,"SAN FRANCISCO, CA"
Venomyx Therapeutics,Dan Dempsey,https://linkedin.com/in/danieltdempsey,http://venomyx.com,Modern Universal Antivenom,"SAN DIEGO, CA"
A2A,Matthew Welsch,https://linkedin.com/in/matthew-welsch-phd-a2b726107?authtype=name_search&authtoken=oouo&locale=en_us,http://a2apharma.com,Computational Solutions for Life Threatening Diseases,"SAN FRANCISCO, CA"
