title,founders,linkedin,website,description,location
Rumarocket,Kathleen Yu,https://linkedin.com/in/kathleen-paige-yu-100a5138,http://rumarocket.com,"Using machine learning algorithms to help companies hire, retain and motivate smarter","MANILA, PHILIPPINES"
Seeder Energy,Alex Shoer,https://linkedin.com/in/alexshoer,http://seederenergy.com,Renewable energy transaction platform for China.,"SHANGHAI, CHINA"
viAct.ai,Gary Ng,https://linkedin.com/in/gary-ng-86323b32,http://www.viact.ai,Automate construction monitoring through AI computer vision,HONG KONG
ATIOM,Matthew Spriegel,https://www.linkedin.com/in/matthew-spriegel-%E5%92%8C%E5%8B%87-b908157/,http://atiom.cn,Driving training and engagement to your people every day.,"SHANGHAI, CHINA"
Atmosoar,Alessio Tixi,https://www.linkedin.com/in/alessio-tixi-651616,http://atmosoar.io,Weather-based flight safety solutions for UAV,HONG KONG
HomeCrowd,Dave Chew,https://www.linkedin.com/in/davewychew/,http://myhomecrowd.com,We help millennials achieve the dream of home ownership,"PETALING JAYA, MALAYSIA"
Overhand,Luc Micaelli,https://www.linkedin.com/in/lucmicaelli/,http://overhandfitness.com,Join the fitness revolution,"SHANGHAI, CHINA"
RAWK,Veronica Fengting Xu,https://linkedin.com/in/veronicaxu,http://rawkfit.com,"Tailor made macro nutrition food, delivered daily.","SHANGHAI, CHINA"
Specifiko,Mark MacIntyre,https://linkedin.com/in/markgmacintyre,http://specifiko.com,Pharma/Healthcare marketing & e-learning Wechat platform,"SHANGHAI, CHINA"
Try&Buy Fashion,Nitin Vats,https://www.linkedin.com/in/nitin-vats-29a7a4118/,http://tryndbuy.com,Virtual Dressing Room,"NEW DELHI, INDIA"
CanCan,Katherine Lui,https://hk.linkedin.com/in/katherinelui,https://www.cancangroup.com/website,"Helping SMEs to manage their financials and business anytime, anywhere.","BEIJING, CHINA"
GroupMall,Chongyou Du,https://linkedin.com/in/chongyou-du-5163a224,http://www.groupmallchina.com/,Groupbuy deals on high quality imported groceries.,"SHANGHAI, CHINA"
Kno Global,Timothy Leung,https://www.linkedin.com/in/levng/,http://knoglobal.com,"Real-time impact data for factories, workers and brands",HONG KONG
Project 5,Chinworth Yao, ,http://project5.tv,A new digital platform that empowers artists,"SHANGHAI, CHINA"
Rikai Labs,Edaan Getzel,https://www.linkedin.com/in/egetzel,http://rikai.co,Language learning games in messaging platforms using AI/ NLP + teachers,"SAN FRANCISCO, CA"
The ClearingPoint,Gabriel Mirón,https://linkedin.com/in/gabrielmiron,http://www.theclearingpoint.com,Enabling Cross Border payments between Asia & Latin America,"SHANGHAI, CHINA"
Trainersvault,Anthony Kelani,https://linkedin.com/in/cornell-castle-4aba9637,http://trainersvault.com,"Personal trainers are artists, and Trainersvault is iTunes","LOS ANGELES, CA"
TravelRight,Sophie Sun,https://www.linkedin.com/in/sophie-sun-paris/,http://www.travelright.cn,The first air compensation service provider in China,"PARIS, FRANCE"
TrustLuxe,Ricardo Ferrer,https://linkedin.com/in/ricardoferrer,http://trustluxe.com,TrustLuxe is a trusted luxury online retailer and fashion influencer based in Shanghai.,"SHANGHAI, CHINA"
Asiahub,Thiago da Costa,https://www.linkedin.com/in/asiahub,http://asiahub.hk,Building Better Shopping-experiences,HONG KONG
China Admissions,Richard Coward,https://linkedin.com/in/richcoward/?locale=en_us,http://china-admissions.com,Online platform to study in China,"BEIJING, CHINA"
Heartland Brothers,John Zhong,https://www.linkedin.com/in/john-zhong-a831402a/,http://www.heartlandbrothers.com/,Meats from US family farms to Chinese consumers 将美国家庭农场生产的优质肉类带给中国消费者,"SHANGHAI, CHINA"
Lootcakes,Matt Littin,https://www.linkedin.com/in/matt-littin-43463318,http://lootcakes.com,We help free-to-play game companies acquire their most valuable customers: SPENDERS.,"NEW YORK CITY, NY"
Markit,Kassie Wong, , ,WeChat Mini Program,"SHANGHAI, CHINA"
Veeshop 微烧严选,Wendy Wang,https://www.linkedin.com/in/wenwen-wang-m-b-a-b0507119/,https://h5.youzan.com/v2/showcase/homepage?kdt_id=18733415&reft=1502437626547&spm=f46805366&sf=wx_sm&form=singlemessage,Bringing the hottest consumer electronics from overseas to China 将海外最热门电子硬件带入中国消费市场,"BEIJING, CHINA"
Sophie Society,Chris Rawlings,https://www.linkedin.com/in/chris-rawlings-a4042260,http://sophiesociety.com,Join the Top 1% of Amazon Sellers,"NEW YORK CITY, NY"
bluum,Joanna Wu,https://www.linkedin.com/in/ying-wu/,https://www.bluum.hk/,Your team's health in one tap,HONG KONG
Instoried,Sutanshu Raj,https://www.linkedin.com/in/sutanshuraj/,http://instoried.com,AI-powered data-driven solution to make content marketing more human,"BANGALORE, INDIA"
