title,founders,linkedin,website,description,location
Ex Machina,Manolis Nikiforakis,https://linkedin.com/in/mnikiforakis,http://exm.gr,Hyperlocal weather station,"ATHENS, GREECE"
IQ Motion Control,Matt Piccoli,https://www.linkedin.com/in/matthewpiccoli/,http://www.iqinetics.com,The Ultimate Motor for Versatility and Performance,"PHILADELPHIA, PA"
kegg,Scott Shwarts,https://www.linkedin.com/in/scott-shwarts-693215/,http://kegg.tech,Fertility Understood,"SAN FRANCISCO, CA"
Motion Metrics Limited,Sam Nelson,https://www.linkedin.com/in/samuelrnelson/,http://getcarv.com,Using digital coaching to redefine how physical activities are taught,"LONDON, UNITED KINGDOM"
NERv Technology Inc.,Mohamed Okasha,https://linkedin.com/in/mohamed-okasha-35b9037b,http://ne-rv.com,Platform for detecting post-operative complications,"KITCHENER, ON, CANADA"
Roadie Tuner,Karine Janho,https://www.linkedin.com/in/karine-janho-86874528/,http://www.roadietuner.com,Building the next generation musician’s toolkit,"PORT TOWNSEND, WA"
thingc,Cameron Leeson,https://linkedin.com/in/camleeson,http://thingc.co,Automating Organic Agriculturewith Artificial Intelligence-Powered Robotics,"MELBOURNE, AUSTRALIA"
Tinkamo,Chen Ran,https://www.linkedin.com/in/jamzhang,https://www.tinkamo.com/,Connected STEM toys.,"SHANGHAI, CHINA"
Unsupervised AI,Alexis Theallier,https://www.linkedin.com/in/alexis-theallier-49163776,http://unsupervised.ai,"Low cost, agile four legged robot for last-mile delivery","PARIS, FRANCE"
Zio Health,Rory Ryan,https://uk.linkedin.com/in/rorywryan,http://zio-health.com,Biotechnology company focussed on producing diagnostic and monitoring devices,"LONDON, UNITED KINGDOM"
AiSight,Maximilian Von Duering,https://www.linkedin.com/in/maximilianvonduering/,http://aisight.de,Automating machine diagnostics for manufacturing,"BERLIN, GERMANY"
Amber Agriculture,Joseph Varikooty,https://linkedin.com/in/josephvarikooty,http://amber.ag,Kernel-like sensor for grain asset management,"CHICAGO, IL"
AptaCam,Lei Fang,https://www.linkedin.com/in/lilyleifang/,http://www.aptacam.com,AptaCam makes portable biosensors for HPV diagnosis.,HONG KONG
Axem Neurotechnology Inc.,Tony Ingram,http://www.linkedin.com/in/tony-ingram-8b548340,https://www.axemneuro.com,Empowering stroke survivors with home rehabilitation using neurotechnology.,"HALIFAX, NS, CANADA"
"Bitome, Inc.",Herb Ryan,https://www.linkedin.com/in/herbryan,https://bitome.com/,"Better tools, faster science","BOSTON, MA"
FeetMe,Alexis Mathieu,https://linkedin.com/in/alexis-mathieu-00292060/en,http://feetme.fr,Walk like never before,"PARIS, FRANCE"
Orenda,Pawin Bank Wongtada,https://linkedin.com/in/pawinbankwongtada,http://orendacoffee.com,ultimate bespoke coffee at home,"WILMINGTON, DE"
Hitch Tech Inc,Zachary Burns,https://www.linkedin.com/in/zachary-burns-14523a141/,https://hitch.video,delivers educational videos to students & teachers in emerging markets.,"KITCHENER, ON, CANADA"
Wazer,Matthew Nowicki,https://linkedin.com/in/matthew-nowicki-57637720,http://wazer.com,Worlds first advanced desktop waterjet cutter,"NEW YORK CITY, NY"
APIX,Marcel Mueller,https://www.linkedin.com/in/marcel-mueller-99873413a,http://apixworldwide.com,Securing the global food supply by saving the honeybees,"LOS ANGELES, CA"
ShapeMeasure,Dain Galts,https://www.linkedin.com/in/dain-galts-454467a1/,http://shapemeasure.com,Measure once. Cut once.,"VANCOUVER, BC, CANADA"
Somatic,Michael Levy,https://linkedin.com/in/mlevy23,http://getsomatic.com,Commercial bathroom cleaning robots,"NEW YORK CITY, NY"
Mojo,Tobias Boecker,https://linkedin.com/in/tboecker,http://www.mojofertility.co,We are creating the future of fertility care using AI and robotics.,"RHÔNE, FRANCE"
Pulsenics,Essam Elsahwi,https://www.linkedin.com/in/essamelsahwi/,http://pulsenics.com,"Unlocking the Potential of Data in the 
Electrochemical Industry","TORONTO, ON, CANADA"
ShenzhenWare,Jerry Lee,https://linkedin.com/in/seaborn-lee-99238938,http://shenzhenware.com,Community for Hardware Innovators,"SHENZHEN, CHINA"
Tensorfield Agriculture,Cheehan Weereratne,https://www.linkedin.com/in/cheehanweereratne/,https://tensorfield.ag,Agricultural Robots for a Future Without Herbicides,"SAN JOSE, CA"
ACiiST Smart Networks Ltd.,Sagi Gurfinkel,https://www.linkedin.com/in/sagi-gurfinkel-899a723/,http://aciist.com,ACiiST makes smart city connectivity infrastructure.,"TEL AVIV-YAFO, ISRAEL"
Biopsin,Amit Kumar,https://linkedin.com/in/amitscient,http://biopsin.com,Gold-standard Microbial Detection in Minutes,"SINGAPORE, SINGAPORE"
Elephant Robotics,Junyi Song,https://www.linkedin.com/in/junyi-song-692a8486/,http://www.elephantrobotics.com/en/,"The next generation Cooperative Robot with integrated Robot Arm, Voice and Vision Systems.","SHENZHEN, CHINA"
Forward Robotics Inc.,Meng Wei,http://www.linkedin.com/in/meng-wei-9a766315b,http://www.forwardrobotics.com,"High Productivity, Precision Aerial Spraying VTOL Drones","TORONTO, ON, CANADA"
Kinexcs,Abhishek Agrawal,https://www.linkedin.com/in/abhishek-agrawal-bb028722,http://www.kinexcs.com,Building monitoring and tracking solutions for the Orthopedic Industry.,SINGAPORE
Neurocess,Kaan Gokcesu,https://www.linkedin.com/in/kaan-gokcesu-49861393/,http://neurocess.co,"Wearable technology for healthcare, gaming and professional athletes","ANKARA, TURKEY"
Plecobot,Liu Changzhen,http://www.linkedin.com/in/changzhen-liu-b0933219/,http://xmhuaway.com,Autonomous window cleaning robot,"XIAMEN, CHINA"
Smartex,Paulo Ribeiro,https://linkedin.com/in/paulo-ribeiro-818880129,http://smartex.ai,Textile industry production defects reduced to ZERO,"PORTO, PORTUGAL"
Bowl,Danny Aiken,https://www.linkedin.com/in/dannyaiken/,http://bowl.company,Robot to prepare salads/bowl based meals,"NEW YORK CITY, NY"
EMYS Inc.,Jan Kędzierski,https://www.linkedin.com/in/jankedzierski,http://emys.co,EMYS: The lovable language instruction robot for kids.,"WROCŁAW, POLAND"
Robomart,Emad Rahim,https://www.linkedin.com/in/emad-s-rahim-98b99514/,http://robomart.co,On-Demand Grocery Stores,"SANTA MONICA, CA"
ROVENSO SA,Thomas Estier,https://linkedin.com/in/thomasestier,http://rovenso.com,Agile robots for security and safety monitoring of industrial sites,"LAUSANNE, SWITZERLAND"
Cradlewise,Vishal Pandit,https://www.linkedin.com/in/panditvishal/?originalSubdomain=in,https://cradlewise.com,Smart cribs for babies,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Ray IoT,Aardra Kannan Ambili,https://linkedin.com/in/aardra,https://www.raybaby.us/,Non-contact sleep and wellness tracker for babies.,"FALLS CHURCH, VA"
Reest,Denys Kotelovych,https://www.linkedin.com/in/dkotelovych,https://www.reest.io,Fully autonomous mushroom farming solutions,"LVIV, UKRAINE"
Presso,Nishant Jain,https://www.linkedin.com/in/nishantjain131/,http://www.getpresso.co,The first 4-minute apparel treatment robot,"ATLANTA, GA"
Flicktek,Alfredo Belfiori,https://linkedin.com/in/alfredobelfiori/en,http://www.flicktek.com,Wearable finger movement sensor,"LONDON, UNITED KINGDOM"
Kniterate,Gerard Rubio,https://linkedin.com/in/gerardr,http://kniterate.com,The Digital Knitting Machine,"LONDON, UNITED KINGDOM"
LightUp,Tarun Pondicherry,https://www.linkedin.com/in/tarunpondicherry,http://lightup.io,Augmented reality science experiments in a monthly box,"SAN MATEO, CA"
SepPure,Amir Taheri,https://www.linkedin.com/in/amir-hooshang-taheri-89307326/,http://seppure.com,The Sustainable Solution to Industrial Chemical Separation,"SINGAPORE, SINGAPORE"
Voltera,James Pickard,https://linkedin.com/in/jdpickard,http://www.voltera.io,Build Hardware Faster,"KITCHENER, ON, CANADA"
HabitAware,Sameer Kumar,https://linkedin.com/in/sameerakumar,http://habitaware.com,Retrain your brain with our smart bracelet for compulsive behaviors,"MINNEAPOLIS, MN"
Kokoon Technology,Nick Horsley,https://linkedin.com/in/nicolashorsley,http://kokoon.io,Intelligent audio to aid sleep and relaxation,"LONDON, UNITED KINGDOM"
Lura Health,Daniel Weinstein,https://www.linkedin.com/in/daniel-weinstein-35115080/,http://lurahealth.com,Integrated continual health monitoring platform,"BOSTON, MA"
Notch,Eszter Ozsvald,https://linkedin.com/in/eszterozsvald,http://wearnotch.com,"Movement Capture - Anytime, Anywhere","NEW YORK CITY, NY"
Pycno,Nahuel Lavino,https://www.linkedin.com/in/nahuellavino,http://pycno.co.uk,Sensors for Agriculture,"LONDON, UNITED KINGDOM"
Rebartek,Max Trommer,https://www.linkedin.com/in/maxtrommer/,http://rebartek.com,Automating reinforcement,"VEST-AGDER, NORWAY"
Rightbot,Abhinav Warrier,https://www.linkedin.com/in/abhinavwarrier/,http://rightbot.in,Plug & play goods to person robotics for micro-fulfilment and fulfilment centers,"BANGALORE, INDIA"
Arduboy,Kevin Bates,https://linkedin.com/in/bateske,http://arduboy.com,Card Sized Gaming,"PORTLAND, OR"
CleanRobotics,Vaishnavi Krishnamurthy,https://linkedin.com/in/vaishkrishnamurthy,http://cleanrobotics.com,Robotics for a greener tomorrow,"PITTSBURGH, PA"
Japet Medical,Damien BRATIC,https://fr.linkedin.com/in/damien-bratic/en,http://japet.eu,The first exoskeleton against back pain,"LILLE, FRANCE"
Livin Farms,Katharina Unger,https://linkedin.com/in/katharina-unger-64091928,http://livinfarms.com,Feeding the world while saving the planet,HONG KONG
Miramix,Dario Yazdi,https://linkedin.com/in/dario-yazdi-66a7a780,http://miramix.com,Custom nutritional marketplace,"BALTIMORE, MD"
MOAI,Yoon Hoon,https://linkedin.com/in/iamyoon/en,http://moaidevices.com,Robotic aquarium cleaner+camera,"SHENZHEN, CHINA"
Monogram,Ashish Bidadi,https://linkedin.com/in/abidadi,https://monogramcc.com/,A Better Way To Create,"KITCHENER, ON, CANADA"
Niwa,Javier Morillas,https://linkedin.com/pub/javier-morillas/3b/590/585,http://getniwa.com,"Now, anyone can grow!","ALMERÍA, SPAIN"
Petronics,Dave Cohen,https://linkedin.com/pub/dave-cohen/a2/663/a72,http://petronics.io,An intelligent robotic mouse for your cat,"CHAMPAIGN, IL"
Preemadonna,Pree Walia,https://www.linkedin.com/in/harpreetwalia,http://preemadonna.com,Inventors of the Nailbot,"SUNNYVALE, CA"
Volatile,Adomas Malaiska,https://www.linkedin.com/in/adomasmalaiska/,http://volatile.ai,Making digital olfaction monitoring a reality,"LONDON, UNITED KINGDOM"
Allozymes,Peyman Salehian,https://www.linkedin.com/in/peyman-salehian-ph-d-86611b134/,http://allozymes.com,Fast and affordable enzyme development platform,SINGAPORE
Argentum,Bolis Ibrahim,https://www.linkedin.com/in/bolis/,https://argentum.ai,"Reducing electricity demand for most building types, with DC power distribution.","TORONTO, ON, CANADA"
Backbar Solutions,Rishabh Kewalramani,https://www.linkedin.com/in/rishabh-kewalramani-7a201417a/,http://backbar.com,Automated cocktail dispensing for bars and restaurants,"SAN DIEGO, CA"
Berkeley Ultrasound Inc,Sterling Cooley,https://linkedin.com/in/sterling-cooley-6630102b,http://berkeleyultrasound.com,ultrasound for the brain,"BERKELEY, CA"
Kytch,Melissa Nelson,https://linkedin.com/in/melnel,http://kytch.com,Vending machines reimagined,"PALO ALTO, CA"
MyFlow,Jacob McEntire,https://linkedin.com/in/jacob-mcentire-9a905131,http://trackmyflow.com,Peace of Mind. Period.,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Vibease,Dema Tio,https://linkedin.com/in/dematio,http://vibease.com,World's first Wearable Smart Vibrator,"SAN FRANCISCO, CA"
Bravrr,Brock Predovich,https://www.linkedin.com/in/brockpredovich/,https://www.bravrr.com,An Inward Journey,"CANON CITY, UNITED STATES OF AMERICA"
Butlr,Honghao Deng,https://www.linkedin.com/in/honghaodeng/,http://butlr.tech,AIoT insight and intelligence for indoor people movement and body temperature.,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Circadia,Michal Maslik,https://linkedin.com/in/mmaslik?authtype=name_search&authtoken=ozxl&locale=en_us,http://circadia.health,Personalised sleep therapies powered by non-invasive monitoring.,"LONDON, UNITED KINGDOM"
Divigas,Ali Naderi,https://www.linkedin.com/in/ali-naderi-01/,http://divigas.co,Next Generation Hydrogen Purification,SINGAPORE
Foc.us, , ,http://foc.us,Brain stimulation devices,"LONDON, UNITED KINGDOM"
Lumen Cache,Derek Cowburn,https://linkedin.com/in/derekcowburn,http://lumencache.lighting,A better way to power your ceiling,"INDIANAPOLIS, IN"
Ocular Technologies,Brett Sternfield,https://linkedin.com/in/brett-sternfield-00abaa21,http://oculartechnologies.io,AI assisted imaging solution for tele-ophthalmology,"CAMBRIDGE, MA"
SASSOR,Shuichi Ishibashi,https://linkedin.com/in/takayukimiyauchi,http://sassor.com,Service design company working in IoT,"TOKYO, JAPAN"
"The VIT Initiative, LLC",Connor Young,https://linkedin.com/in/connor-young-6794a37b,http://vitinitiative.com,Eliminating injuries and illnesses before they happen,"PITTSBURGH, PA"
Tumi Robotics,Francisco Fabián Cuéllar Córdova,https://www.linkedin.com/in/francisco-cuellar-a0000541/,http://tumirobotics.com,Automating inspection tasks in the mining industry,"LIMA, PERU"
AI Motion Sports,Elvis Wang,https://www.linkedin.com/in/yufan-elvis-wang-809b47bb/,http://aimotionsports.com,Youth Sports Education & Management Platform,"SHENZHEN, PEOPLE'S REPUBLIC OF CHINA"
HausBots,Harry Smith,https://www.linkedin.com/in/smith-harry/,http://hausbots.com,Protecting the Built Environment,"BIRMINGHAM, UNITED KINGDOM"
Mechasys,Jonathan Lefebvre,https://www.linkedin.com/in/lefebvrejonathan/,http://mechasys.ca,Visual Layout Positioning,"MONTREAL, QC, CANADA"
Perimeter,Munjal Budhabhatti,https://www.linkedin.com/in/munjalpb2000/,http://www.getperimeter.co,An outdoor monitoring subscription that prevents home invasions.,"AUSTIN, TX"
Pulse Industrial,Thomas Uhlenbruck,https://www.linkedin.com/in/thomasuhlenbruck/,http://pulseindustrial.ca,IoT solutions for industrial equipment failures,"BRITISH COLUMBIA, CANADA"
Robodeck,Gal Frenkel,https://linkedin.com/in/galfrenkel,http://www.robo-deck.com,Robotic deck maintenance at a fraction of the cost,"TEL AVIV, ISRAEL"
Trainerbotics,Harrison Chen,https://linkedin.com/in/harrisonwrc,https://trainerbot.com/,App-Enabled Table Tennis Robot That Gives You Infinite Drills,"SAN FRANCISCO, UNITED STATES OF AMERICA"
UnBoxRobotics,Pramod Ghadge,https://linkedin.com/in/pramodghadge,http://unboxrobotics.com,Unbox the future of logistics automation,"BANGALORE, INDIA"
xRobotics,Denis Rodionov,https://www.linkedin.com/in/denis-rodionov/,http://xrobotics.io,Full suite of robotic automation for commercial pizza kitchens,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Deepspin,Clemens Tepel,https://linkedin.com/in/cltepel,http://deepspin.io,"The first truly low-cost MRI 
machine","BERLIN, GERMANY"
Hisens,Shan Wen Hao,https://www.linkedin.com/in/markwong198806/,http://hisens.cc,An “underwearable” sensor to monitor erectile dysfunction,"SCOTTSDALE, AZ"
Juuk,Stephen Dodds,https://linkedin.com/in/stephentdodds,http://juuk.co,Smart Drone. No Controller. Interactive Games.,"CALIFORNIA, UNITED STATES OF AMERICA"
Maetel,Seungyo Kim,https://linkedin.com/in/kimsymoney,http://maetel.kr,Soft pressure sensors using rubber and fabrics. IoT technology.,"MAPO-GU, SOUTH KOREA"
MeWhooo,Roderick Wu,https://www.linkedin.com/in/roderick-wu-88947978/,http://fuhuan.ltd,AIoT-powered skincare portal,"SHANGHAI, CHINA"
Neptune Robotics,Elizabeth Chan,https://www.linkedin.com/in/elizabethcsw/,https://neptune-robotics.com/,An underwater drone for the marine industry,HONG KONG
Neupeak Robotics,Raffaella Di Mattia,https://www.linkedin.com/in/raffaella-di-mattia-4919a724/,http://neupeak.com,Feeding the Future,"VANCOUVER, BC, CANADA"
RxAll Inc.,Adebayo Alonge,https://www.linkedin.com/in/adebayo-alonge-309b1814/,http://rxall.net,Instant Drug Testing,"NEW HAVEN, CT"
Skygauge Robotics,Linar Ismagilov,https://www.linkedin.com/in/linarism/,http://skygauge.co,Drones for any Inspection,"TORONTO, ON, CANADA"
Vox Technologies,Kiyofumi Takimoto,https://linkedin.com/in/yoichirohara,http://vox.delivery,"Making last-mile delivery more secure, smooth, and cheap.","TOKYO, JAPAN"
Aquova, , , ,"Unlocking the Potential of Data in the 
Electrochemical Industry",
Green Li-ion,Reza Katal, ,http://greenli-ion.com,Battery recycling technology for higher yields and purity.,"SINGAPORE, SINGAPORE"
Impact Biosystems,Bridget Hunter-Jones,https://linkedin.com/in/bridget-hunter-jones,http://impactbiosystems.com,Hardware personalized to individual athletes to help them recover quicker,"BOSTON, MA"
Juvo Robotics,Selvamraju Somalraju,https://www.linkedin.com/in/ssr-selvamraju/,http://juvorobotics.com,Automated baggage tugs to handle luggage at airports,"PITTSBURGH, PA"
Labrador Systems,Mike Dooley,https://linkedin.com/in/mike-dooley,http://labradorsystems.com,Assistive robots for the elderly.,"SAN FRANCISCO, CA"
Poseidon AI,Amaj Rahimi-Midani,https://www.linkedin.com/in/amaj-rahimi-midani-470a43111/,http://poseidon-ai.com,Reinventing aquaculture using deep-tech and IoT for food sustainability,SINGAPORE
The Last Gameboard,Shail Mehta,https://www.linkedin.com/in/shail-mehta-7b500712/,http://lastgameboard.com,TLG is building a console and platform to digitize tabletop games.,"DENVER, CO"
Vision Infinitas,Justin Lee,https://linkedin.com/in/justin-lee-32367ba3,http://infinitas.vision,Body Metric Sensor,"SAN FRANCISCO, CA"
Hearth Labs,Nicholas Houchois,https://www.linkedin.com/in/nicholashouchois/,http://www.hearthlabs.com,Measuring the missing half of thermal comfort,"SAN FRANCISCO, UNITED STATES OF AMERICA"
