title,founders,linkedin,website,description,location
Woovly,Venkatesan Jayaraman,https://linkedin.com/in/jvenkat,https://www.woovly.com,What's your bucketlist?,"BANGALORE, INDIA"
Boost Capital,Art Longbottom,https://www.linkedin.com/in/alongbottom/,http://boostkh.com,Microfinance technology that enables loans through smartphones in Southeast Asia,CAMBODIA
Index,Anand Krishna,https://linkedin.com/in/kumar-siddhartha-44847516,https://www.getindex.co,The Gmail-based personal finance tracker,"BANGALORE, INDIA"
Matchnow,Arther Wu, ,http://matchnow.co,MATCH is a job shop with a network beauty and high-quality job opportunities,"SHENZHEN, PEOPLE'S REPUBLIC OF CHINA"
Geltor,Nick Ouzounov,https://linkedin.com/in/nick-ouzounov-2125689,http://geltor.com,Building food with biology,"SAN LEANDRO, CA"
Upside Foods,Will Clem,https://linkedin.com/in/willclem,http://www.upsidefoods.com,"At UPSIDE Foods (fka Memphis Meats), we're making your favorite food a force for good.","SAN FRANCISCO, CA"
Simbe Robotics,Brad Bogolea,https://linkedin.com/in/bradbogolea,http://simberobotics.com,Automating Retail,"SAN FRANCISCO, CA"
nura,Kyle Slater,https://linkedin.com/in/kyledamonslater,http://nuraphone.com,Headphones that learn and adapt to your unique hearing,"MELBOURNE, AUSTRALIA"
Simply Good Jars,Jared Cannon,https://linkedin.com/in/jared-cannon-4278004a,http://simplygoodjars.com,Making last minute food consumption easier + healthier,"PHILADELPHIA, PA"
Sempo,Tristan Cole,https://linkedin.com/in/tristanhcole,https://withsempo.com,Inclusive financial infrastructure for emerging markets,"MELBOURNE, AUSTRALIA"
BitMEX,Ben Delo,https://linkedin.com/in/bendelo,http://bitmex.com,Bitcoin Futures and Options Exchange,HONG KONG
Goama,Wayne Kennedy,https://www.linkedin.com/in/wkennedy/,http://www.goama.com,Gamification Made Easy,SINGAPORE
Sana,Steve Sanders,https://www.linkedin.com/in/steve-sanders-5748954a/,http://sana.io,Smart sleep mask,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Aanika Bio (fka Carverr),Vishaal B. Bhuyan,https://www.linkedin.com/in/vishaal-b-bhuyan-9053b0139/,http://aanikabio.com,Using Microbes to Trace & Authenticate Products in the Supply Chain,"NEW YORK CITY, NY"
BigGo,Marco Mirabella,https://linkedin.com/in/marco-mirabella-294256a6,http://funmula.com,Price Search Engine and Aggregator for E-commerce,TAIPEI
CyGenica Ltd.,Nusrat Jahan,https://linkedin.com/in/nusrat-jahan-m-sanghamitra-4a4ab717,http://cygenica.com,Delivering therapeutic molecules directly into living cells,"CORK, IRELAND"
Particle,Zachary Crockett,https://linkedin.com/in/zacharycrockett,http://particle.io,The #1 development platform for the Internet of Things.,"SAN FRANCISCO, CA"
Breather,Julien Smith,https://linkedin.com/in/juliensmith,http://breather.com,"Find and unlock beautiful, private spaces to work, meet and relax.","MONTREAL, QC, CANADA"
Crayonic,Peter Kolarov,https://linkedin.com/in/pkolarov,http://crayonic.com,"Bank grade passwordless security for authentication, digital assets and eSignatures","EINDHOVEN, NETHERLANDS"
ELSA,Xavier Anguera,https://pt.linkedin.com/in/xanguera,http://elsanow.io,Pronunciation training and accent reduction using speech recognition.,"SAN FRANCISCO, CA"
Flickstree,Saurabh Singh,https://linkedin.com/in/saurabh-singh-8415b4a,https://flickstree.com,"Indian video content for telcos, phone brands and Internet sites","MUMBAI, INDIA"
USHOPAL,Lu Guo 郭璐,https://linkedin.com/in/guolu,https://us.ushopal.com/,Brand Acceleration Group,"SHANGHAI, CHINA"
API3,Heikki Vänttinen,https://www.linkedin.com/in/heikki-v%C3%A4nttinen-83a86380/,https://api3.org/,API3 connects blockchain based smart contracts to real world data,"LISBON, PORTUGAL"
Formlabs,Natan Linder,https://linkedin.com/in/linder,http://formlabs.com,High resolution 3D printing. Designed for your desktop.,"CAMBRIDGE, MA"
